CNPq_ID,Name,Institution,Area,City,State,Country,Lattes_URL,Search_Term,Created_At
K8876695U6,José Luis Conradi Hoffmann,,,,,,http://lattes.cnpq.br/K8876695U6,formal methods,2025-05-27 02:41:24
K2158691A4,José Luiz Saikali,Faculdade de Direito da USP,,,,,http://lattes.cnpq.br/K2158691A4,prova de teoremas,2025-05-27 02:41:31
K4249947E2,João Batista Correa Gomes Moreira,Universidade Estadual de Campinas,,,,,http://lattes.cnpq.br/K4249947E2,program verification,2025-05-27 02:41:40
K4681856H6,João Guilherme Faccin,Universidade Federal do Rio Grande do Sul,,,,,http://lattes.cnpq.br/K4681856H6,automated reasoning,2025-05-27 02:41:49
K4189916U5,Juan Carlos Agudelo Agudelo,Universidade Estadual de Campinas,,,,,http://lattes.cnpq.br/K4189916U5,computacao,2025-05-27 02:25:14
K4207569Y9,Juan Carlos Fernández-Molina,,,,,,http://lattes.cnpq.br/K4207569Y9,linguagens de especificação,2025-05-27 02:41:44
K4702467Z0,Juliana de Melo Bezerra,,,,,,http://lattes.cnpq.br/K4702467Z0,program verification,2025-05-27 02:41:42
K4705482Y2,Lauro Ivo Beltrão Colaço Costa,University of British Columbia,,,,,http://lattes.cnpq.br/K4705482Y2,computacao,2025-05-27 02:25:34
K4758708J3,Lauro Massao Yamada da Silveira,Universidade de São Paulo,,,,,http://lattes.cnpq.br/K4758708J3,static analysis,2025-05-27 02:41:38
K4791614E9,Leandro Afonso da Silva,Universidade Federal de Uberlândia,,,,,http://lattes.cnpq.br/K4791614E9,program verification,2025-05-27 02:41:42
K4765305P5,Leonardo José Simões de Freitas,University of York,,,,,http://lattes.cnpq.br/K4765305P5,"formal methods, model checking, formal semantics",2025-05-27 02:41:22
K4236936A9,Lorenzo Moreno Ruiz,Universidade Complutense de Madri,,,,,http://lattes.cnpq.br/K4236936A9,linguagens de especificação,2025-05-27 02:41:42
K4430309Y6,Lourenzo Guidoni Maragni,Universidade Presbiteriana Mackenzie,,,,,http://lattes.cnpq.br/K4430309Y6,linguagens de especificação,2025-05-27 02:41:44
K4771206Y5,Lucas Carvalho Cordeiro,University of Southampton,,,,,http://lattes.cnpq.br/K4771206Y5,"model checking, program verification",2025-05-27 02:41:30
K4138490P4,Luciana Fregadolli Monk,Pontifícia Universidade Católica de São Paulo,,,,,http://lattes.cnpq.br/K4138490P4,prova de teoremas,2025-05-27 02:41:31
K4250530E0,Lucienno Telles,União de Escolas Superiores de Rondonópolis,,,,,http://lattes.cnpq.br/K4250530E0,computacao,2025-05-27 02:25:43
K4767561U6,Luis Carlos de Sousa Menezes,Universidade Federal de Pernambuco,,,,,http://lattes.cnpq.br/K4767561U6,formal semantics,2025-05-27 02:41:50
K4208283H1,Luis Henrique Bustamante de Morais,Universidade Federal do Ceará,,,,,http://lattes.cnpq.br/K4208283H1,temporal logic,2025-05-27 02:41:36
K4177552A7,Luis José de Jesus Ribeiro,,,,,,http://lattes.cnpq.br/K4177552A7,prova de teoremas,2025-05-27 02:41:32
