CNPq_ID,Name,Institution,Area,City,State,Country,Lattes_URL,Search_Term,Created_At
K4422706D6,Rossana Claudya Silverio da Silva,Escola Superior da Magistratura de Pernamabuco,,,,,http://lattes.cnpq.br/K4422706D6,prova de teoremas,2025-05-27 02:41:30
K4779359A3,Rovilson Mezencio,Universidade Federal de Goiás,,,,,http://lattes.cnpq.br/K4779359A3,computacao,2025-05-27 02:26:13
K4248992Y7,Rômulo Guedes Cerqueira,Universidade Federal da Bahia,,,,,http://lattes.cnpq.br/K4248992Y7,computacao,2025-05-27 02:26:00
K4778592D7,Samarkandra Pereira dos Santos Pimentel,Universidade Federal da Paraíba,,,,,http://lattes.cnpq.br/K4778592D7,linguagens de especificação,2025-05-27 02:41:46
K4261980Y7,Samuel Lincoln Magalhaes Barrocas,Universidade Federal do Rio Grande do Norte,,,,,http://lattes.cnpq.br/K4261980Y7,formal semantics,2025-05-27 02:41:50
K4735806E6,Samy Soares Passos de Sá,Universidade Federal do Ceará,,,,,http://lattes.cnpq.br/K4735806E6,formal semantics,2025-05-27 02:41:51
K4460931Z2,Sandro Márcio da Silva Preto,Universidade de São Paulo,,,,,http://lattes.cnpq.br/K4460931Z2,formal semantics,2025-05-27 02:41:51
K4788576P6,Sergio Vale Aguiar Campos,Carnegie Mellon University,,,,,http://lattes.cnpq.br/K4788576P6,model checking,2025-05-27 02:41:29
K8652891E2,Shichao Yi,,,,,,http://lattes.cnpq.br/K8652891E2,static analysis,2025-05-27 02:41:40
K4765093H7,Sidi Ould Ehmety,,,,,,http://lattes.cnpq.br/K4765093H7,formal semantics,2025-05-27 02:41:49
K4736348U6,Silvio Ranise,,,,,,http://lattes.cnpq.br/K4736348U6,automated reasoning,2025-05-27 02:41:46
K4410811U0,Simone Carvalho Sampaio Coelho,,,,,,http://lattes.cnpq.br/K4410811U0,prova de teoremas,2025-05-27 02:41:32
K4243469D6,Simone Hanazumi,Universidade de São Paulo,,,,,http://lattes.cnpq.br/K4243469D6,"formal verification, program verification",2025-05-27 02:41:26
K4793946P0,Susimaurem Navarro Roque,Universidade Federal da Paraíba,,,,,http://lattes.cnpq.br/K4793946P0,prova de teoremas,2025-05-27 02:41:32
K4357307J8,Sérgio Barza,Universidade Federal de Pernambuco,,,,,http://lattes.cnpq.br/K4357307J8,"formal methods, model checking, temporal logic",2025-05-27 02:41:24
K4787753U2,Tarcisio Haroldo Cavalcante Pequeno,Pontifícia Universidade Católica do Rio de Janeiro,,,,,http://lattes.cnpq.br/K4787753U2,automated reasoning,2025-05-27 02:41:47
K4476168Y6,Thiago Monteiro Tuxi,Universidade Federal do Rio de Janeiro,,,,,http://lattes.cnpq.br/K4476168Y6,model checking,2025-05-27 02:41:28
K1190804A4,Thomas Bell Djuitchou Yaleu,University of Yaounde I,,,,,http://lattes.cnpq.br/K1190804A4,static analysis,2025-05-27 02:41:38
K4351781Z1,Tomas Grimm,,,,,,http://lattes.cnpq.br/K4351781Z1,formal verification,2025-05-27 02:41:27
K4787275H6,Tomasz Kowaltowski,Universidade da California em Berkeley,,,,,http://lattes.cnpq.br/K4787275H6,linguagens de especificação,2025-05-27 02:41:45
K4728814D0,Torsten Paul Nelson,University of Waterloo,,,,,http://lattes.cnpq.br/K4728814D0,formal verification,2025-05-27 02:41:26
K4782515H4,Vanderlei Moraes Rodrigues,Universidade Federal do Rio Grande do Sul,,,,,http://lattes.cnpq.br/K4782515H4,temporal logic,2025-05-27 02:41:33
K4302585Z7,Victor Borges Ferreira Gomes,University of Sheffield,,,,,http://lattes.cnpq.br/K4302585Z7,program verification,2025-05-27 02:41:40
K4414716P6,Vinícius Pereira,Universidade de São Paulo,,,,,http://lattes.cnpq.br/K4414716P6,"formal methods, formal verification, formal semantics",2025-05-27 02:41:22
K8183619P3,Viorel Milea,Erasmus University Rotterdam,,,,,http://lattes.cnpq.br/K8183619P3,automated reasoning,2025-05-27 02:41:47
K4799291P4,Virginia Carvalho Carneiro de Paula,Universidade Federal de Pernambuco,,,,,http://lattes.cnpq.br/K4799291P4,linguagens de especificação,2025-05-27 02:41:45
K4816497D2,Vitor Pereira Machado,Universidade Federal do Rio de Janeiro,,,,,http://lattes.cnpq.br/K4816497D2,temporal logic,2025-05-27 02:41:33
K4434715J1,Vivek Nigam,,,,,,http://lattes.cnpq.br/K4434715J1,automated reasoning,2025-05-27 02:41:47
K4202499H6,Wilerson Venceslau Calil,Universidade de São Paulo,,,,,http://lattes.cnpq.br/K4202499H6,program verification,2025-05-27 02:41:41
K8703868E0,Yeison Andres Zabala,Universidade de São Paulo,,,,,http://lattes.cnpq.br/K8703868E0,static analysis,2025-05-27 02:41:39
K1797246Y9,Ângelo Antônio dos Anjos Dias,,,,,,http://lattes.cnpq.br/K1797246Y9,linguagens de especificação,2025-05-27 02:41:45
K4339024P6,Óscar Emanuel Chaves Mealha,Universidade de Aveiro,,,,,http://lattes.cnpq.br/K4339024P6,computacao,2025-05-27 02:25:47
